BRAND & NAME,Quick Access Pocket (#),Additional Notes,Bag Style Opening,Compression Straps,Depth (inches),Expandable,Expandable Volume,Handles,Height (inches),LINKS,Laptop Access,Lash Points (outside),Load Lifters,Luggage Pass Through / Trolley Sleeve,Material,Max. Laptop Size (in),Org Slots/Pockets,Origin of Company,Packable,Picture,Price (USD),QAP Location,Sternum Strap,Type,Volume (liters),WBP Location,Warranty,Water Bottle Pockets (#),Weight (lbs),Width (inches)
SwissGear Getaway Pack,1,,Clamshell,2,8,No,No,2,18,https://www.swissgear.com/swissgear-5625-getaway-weekend-backpack-heather-gray&sa=D&source=editors&ust=1740763376205712&usg=AOvVaw0129uAq7RcONdGpPX9bzTu,External compartment,1,No,No,,15,No,Switzerland,No,https://m.media-amazon.com/images/I/91BCsJbzxgL._AC_SL1500_.jpg,70,top,No,Backpack,26,Side,10 years,1,2.1,11
Thule Aion,1,"Internal Removable TPU rolltop bag
Compatible with the Thule Aion Sling Bag which doubles up as a supportive hip belt 
Lockable zippers",Clamshell,no,9,No,No,3,20.5,https://www.thule.com/en-us/backpacks/backpacking-travel-backpacks/thule-aion-travel-backpack-40l-_-3204724&sa=D&source=editors&ust=1740763376207212&usg=AOvVaw3L3E7esZmReDSdiBCVFY72,,>10,No,No,,16,No,Sweden,No,https://www.thule.com/-/p/V2nVd8KK5-C8hLkEUTiPUCdYNnPqi2K3PPJbC9a-8As/rs:fit/h:991/cb:1.12/w:991/plain/approved/std.lang.all/16/11/1381611.png,200,top,Yes,Backpack,40,Side,Lifetime,1,3.2,13
Thule Subterra 2 Backpack 27L,2,has additional tablet/iPad sleeve,Half Zip,no,8.7,No,,,18.9,,External compartment,no,No,Yes,800D Nylon or polyester,16,Yes,Sweden,No,https://www.thule.com/-/p/rUSpKRM7DdijrYIGSCqWpG4PCp5uCvbVsvDFp44cWtc/rs:fit/h:1200/cb:1.6/w:1200/plain/approved/std.lang.all/51/24/1455124.png,175,front & back,Yes,Backpack,27,Side,5 years,2,2.1,13.4
Thule Subterra 2 Convertible Carry-On 40L,2,"has additional tablet/iPad sleeve, can be carried like a duffel, divider system for shoes etc. ",Clamshell,no,8.3,No,,2,21.7,,External compartment,no,No,Yes,800D Nylon or polyester,16,Yes,Sweden,No,https://www.thule.com/-/p/R1W-MYuFJGSF1aNBIbUQfn6YjNsDwo_i2KspzodKc0U/rs:fit/h:1200/cb:1.6/w:1200/plain/approved/std.lang.all/59/01/1455901.png,250,front & back,Yes,Backpack,40,Side,5 years,1,3.75,13.8
Thule Subterra Backpack 21L,2,has additional tablet/iPad sleeve,Half Zip,no,7.9,No,,1,18.1,,Internal sleeve,no,No,Yes,800D Nylon or polyester,16,Yes,Sweden,No,https://www.thule.com/-/p/rUSpKRM7DdijrYIGSCqWpG4PCp5uCvbVsvDFp44cWtc/rs:fit/h:1200/cb:1.6/w:1200/plain/approved/std.lang.all/51/24/1455124.png,150,front & back,Yes,Backpack,21,Side,5 years,2,1.9,12.6
Thule Subterra Backpack 26L,2,has additional tablet/iPad sleeve,Toploader & Clamshell,no,13,Yes,32L,1,19.9,,Internal sleeve,no,No,Yes,800D Nylon or polyester,16,Yes,Sweden,No,https://www.thule.com/-/p/CvtVypf7xeC7xjJe_IPfihUASQaP2IHhRPYQzY9UOvI/rs:fit/h:1200/cb:1.6/w:1200/plain/approved/std.lang.all/55/93/1455593.png,200,side & back,Yes,Backpack,26,Side,5 years,1,2.9,9.6
Timbuk2 Authority Laptop Backpack Deluxe,1,,Half Zip,no,5.3,No,No,1,18.9,https://www.timbuk2.com/collections/all-backpacks/products/1825-authority-laptop-backpack-deluxe,External compartment,no,No,Yes,Nylon (Recycled),17,Yes,USA,No,https://timbuk2uk.co.uk/cdn/shop/products/timbuk2-pack-authority-laptop-backpack-deluxe-titanium_1825-3-6212_front-Europe-e7c3c3c3c1c1c3c3-1989_4898a68c-84bc-4d1f-ad62-a4b378e1b45b_599x499@2x.jpg?v=1630568094,169,front,Yes,Backpack,20,Side,Lifetime,1,2.4,11.4
Timbuk2 Division Laptop Backpack Deluxe,1,,Half Zip,2,5.1,No,No,1,17.3,https://www.timbuk2.com/collections/all-backpacks/products/1859-division-laptop-backpack-deluxe,External compartment,no,No,Yes,Nylon (Recycled),15,No,USA,No,https://timbuk2uk.co.uk/cdn/shop/products/timbuk2-pack-division-laptop-backpack-deluxe-titanium_1859-3-6212_front-Europe-c7c3c3c1c3c3c3c3-1989_fca47da5-4eb0-4ee9-83e6-3df8428ab626_599x499@2x.jpg?v=1630568168,149,front,No,Backpack,18,Side,Lifetime,1,2.2,10.6
Timbuk2 Eco Cordura Alcatraz Backpack,2,,Half Zip,2,6,No,No,1,20.1,https://www.timbuk2.com/collections/all-backpacks/products/1208-eco-cordura-alcatraz-backpack,External compartment,no,No,No,Eco Cordura Canvas plastic bottles PET (Recycled),17,Yes,USA,No,https://content.cylindo.com/api/v2/4676/products/ALCATRAZBACKPACKCUSTOM/frames/4/ALCATRAZBACKPACKCUSTOM.JPG?background=EEEEEE&feature=ALCATRAZLAPTOP-BODYPANEL:UEC04&feature=ALCATRAZLAPTOP-BOOTPANEL:UEC05&feature=ALCATRAZLAPTOP-SIDEPANEL:UEC05&feature=ALCATRAZLAPTOP-BINDING:UGB01&feature=ALCATRAZLAPTOP-POCKET:WBP01&feature=ALCATRAZLAPTOP-POCKETCOLOR:PKT01&size=700,154,front,Yes,Backpack,18,Side,Lifetime,2,2.2,13
Timbuk2 Never Check Expandable Backpack,1,,Half Zip,2,6,Yes,28L,2,19,https://www.timbuk2.com/collections/travel-backpacks/products/5700-never-check-expandable-backpack&sa=D&source=editors&ust=1740763376211824&usg=AOvVaw3lqYfNSmHLoO4HGhhPNZtt,External compartment,no,No,No,,15,No,USA,No,https://timbuk2uk.co.uk/cdn/shop/products/timbuk2-pack-never-check-expandable-backpack-jet-black_5700-3-6114_front-Europe-c0c0c0c0c3c3c3c3-1989_b992e451-643c-48bd-9ddd-4d6fef6e1b87_599x499@2x.jpg?v=1630569348,210,front,Yes,Backpack,25,Side,Lifetime,1,2.6,11.5
Timbuk2 Parkside Laptop Backpack 2.0,3,"iPad slip pocket in front zippered zone, interior slip pocket for laptop",Half Zip,no,5.5,No,No,1,17.9,https://www.timbuk2.com/collections/all-backpacks/products/3840-parkside-laptop-backpack-20,External compartment,no,No,No,Nylon (Recycled),15,Yes,USA,No,https://static.bergzeit.com/product_gallery_zoom/iview_5053099-002_pic1.jpg,99,front,Yes,Backpack,25,Side,Lifetime,1,1.5,11.6
Timbuk2 Q Laptop Backpack 2.0,2,,Half Zip,no,5.1,No,No,2,18.5,https://www.timbuk2.com/collections/all-backpacks/products/3960-q-laptop-backpack-20,External compartment,no,No,Yes,Nylon (Recycled),17,Yes,USA,No,https://timbuk2uk.co.uk/cdn/shop/products/timbuk2-pack-q-laptop-backpack-2.0-gunmetal_3960-3-2003_front-Europe-e7c3c383c3c1c3c3-1989_537c03fb-aef4-4e55-8f91-bdb710097d2a_599x499_crop_center@2x.jpg?v=1630568973,129,front,Yes,Backpack,18,Side,Lifetime,1,2.1,11
Timbuk2 Robin Commuter Backpack,2,,Toploader,no,5.5,No,No,1,18.2,https://www.timbuk2.com/collections/all-backpacks/products/1354-robin-commuter-backpack,Internal sleeve,no,Yes,No,Coated Nylon,13,No,USA,No,https://timbuk2uk.co.uk/cdn/shop/products/timbuk2-pack-robin-commuter-backpack-jet-black_1354-3-6114_front-Europe-0303030300000008-1989_a6a6571d-cea7-4231-b515-8297c0dde322_599x499@2x.jpg?v=1630567664,189,front,Yes,Backpack,20,Side,Lifetime,2,2,10.4
Tom Bihn Addax 26,1,"3 Rolls: 26 Liters / 1585 cu. in.
1 Roll: 33 Liters / 2015 cu. in.
No Roll: 38 Liters / 2320 cu. in.",Rolltop,no,10,No,No,1,18.5,https://www.tombihn.com/products/addax-26?variant%3D42355530465469&sa=D&source=editors&ust=1740763376215787&usg=AOvVaw1a0Nt75-aP9Yq1kGmYSGAY,,no,No,No,X-PAC 1110g or 2lb 7oz or Ballistic 1200g or 2lb 10oz,15,No,USA,No,https://www.tombihn.com/cdn/shop/products/447211825-addax26_coy_mgrey.jpg?v=1695341734,300,front,Yes,Backpack,26,Side,Lifetime,1,2.4,13
Tom Bihn Bixi,1,,Clamshell,no,9.8,No,No,2,17,https://www.tombihn.com/collections/backpacks/products/bixi?variant=44384650494141,External compartment,1,No,Yes,630d High-Tenacity 2x2 Ballistic Nylon,16,No,USA,No,https://www.tombihn.com/cdn/shop/files/TB0133-UK-Bixi-AubergineBallistic.jpg?v=1721396971,355,front,Yes,Backpack,32,Side,Lifetime,1,2.8,14.2
Tom Bihn Brain Bag,1,"Main compartment 4"" deep, back compartment 3"" deep",Half Zip,4,9,No,No,1,18,https://www.tombihn.com/products/brain-bag?variant%3D31808802848831&sa=D&source=editors&ust=1740763376221333&usg=AOvVaw1YN1DPBf68CylUJikyx1Yq,Not dedicated,2,No,No,525 Ballistic Nylon,13,No,USA,No,https://matterful.co/wp-content/uploads/2020/11/tombihn-brainbag.jpg,240,top,Yes,Backpack,36,Side,Lifetime,1,3,14
Tom Bihn Daylight Backpack,1,,Half Zip,no,5.1,No,No,1,17.3,https://www.tombihn.com/collections/backpacks/products/daylight-backpack?variant=44552405614781,Internal sleeve,5,No,No,630D Ballistic Nylon,13,No,USA,Yes,https://i.pinimg.com/736x/c3/bd/e8/c3bde86ca14cb3c74c0de52fdac41e6e.jpg,120,front,Yes,Backpack,17,,Lifetime,0,1.1,11.8
Tom Bihn Paragon 2.0,1,,Half Zip,no,6.8,No,No,1,17.9,https://www.tombihn.com/collections/backpacks/products/paragon2?variant=44552326447293,Internal sleeve,4,No,No,630D Ballistic Nylon,16,No,USA,No,https://www.tombihn.com/cdn/shop/files/TB0927-NK-Paragon2-ConstellationBallistic.jpg?v=1716307997,209,front,Yes,Backpack,20,,Lifetime,0,1.5,13.4
Tom Bihn Shadow Guide 23,1,,Toploader,no,9,Yes,24L,1,19.3,https://www.tombihn.com/collections/backpacks/products/shadow-guide-23?variant=33013608874047,External compartment,6,No,Yes,525D Ballistic Nylon,15,No,USA,No,https://www.tombihn.com/cdn/shop/products/ShadowGuide23_Ursa.jpg?v=1625068211,300,top,Yes,Backpack,23,,Lifetime,0,2.2,12.6
Tom Bihn Shadow Guide 33,1,,Toploader,no,9,Yes,34L,1,21.7,https://www.tombihn.com/collections/backpacks/products/shadow-guide-33?variant=33013515485247,External compartment,6,No,Yes,525D Ballistic Nylon,17,No,USA,No,https://www.tombihn.com/cdn/shop/products/ShadowGuide33_Black.jpg?v=1604689248,310,top,Yes,Backpack,33,,Lifetime,,2.4,14
Tom Bihn Synapse 19,1,,Half Zip,no,8,No,No,1,16,https://www.tombihn.com/products/synapse-19?variant%3D42047222874301&sa=D&source=editors&ust=1740763376222860&usg=AOvVaw0H7HRAF0mGB46yGoYkhS_k,Not dedicated,no,No,No,200D Halcyon or Nylon Ripstop fabric or 400D Nylon lower back,13,No,USA,No,https://www.tombihn.com/cdn/shop/products/TB0112-CKGL.jpg?v=1742578092,240,front,Yes,Backpack,19,front,Lifetime,1,1.5,11.5
Tom Bihn Synapse 25,1,,Half Zip,no,9,No,No,1,20,https://www.tombihn.com/products/synapse-25?variant%3D42122649829565&sa=D&source=editors&ust=1740763376224339&usg=AOvVaw0YDY8baYkDDkLcMJAWaAjg,,no,No,No,200D Halcyon or Nylon Ripstop fabric or 400D Nylon lower back,15,No,USA,No,https://www.tombihn.com/cdn/shop/products/Synapse25_Guides_Constellation.jpg?v=1615223852,250,front,Yes,Backpack,25,front,Lifetime,1,1.8,13.5
Tom Bihn Synik 22,5,,Clamshell,no,7.1,No,No,1,16,https://www.tombihn.com/collections/backpacks/products/synik-22?variant=15334746652735#materials-specs,External compartment,1,No,Yes,X-PAC RX30 or 630D Ballistic Nylon or 420D HT Nylon Classic Parapack (Recycled),13,No,USA,No,https://www.tombihn.com/cdn/shop/files/TB0120-TK-Synik22-BurntBallistic-1_3000x.jpg?v=1716930062,335,front & top,Yes,Backpack,22,front,Lifetime,1,2.6,11.4
Tom Bihn Synik 26,5,,Clamshell,no,7.7,No,No,1,18,https://www.tombihn.com/collections/backpacks/products/synik-26?variant=44502640165053,External compartment,1,No,Yes,X-PAC RX30 or 630D Ballistic Nylon or 420D HT Nylon Classic Parapack (Recycled),15,No,USA,No,https://d141zx60z515qt.cloudfront.net/mp0f5df18998/pr66fa9eb802052b71fd7dc063/img62109_1200w.webp,340,front & top,Yes,Backpack,26,front,Lifetime,1,2.6,13.2
Tom Bihn Synik 30,5,,Clamshell,no,11,No,No,1,20,https://www.tombihn.com/products/synik-30?variant%3D41334236348605&sa=D&source=editors&ust=1740763376225937&usg=AOvVaw1TuQ6DoxdKc9-Mz_OSrd-R,External compartment,1,No,No,Ultralight 400d Halcyon or 420d Nylon Ripstop,15,No,USA,No,https://www.tombihn.com/cdn/shop/files/S30-GE-Wilderness-3.jpg?v=1732288361,345,front & top,Yes,Backpack,30,front,Lifetime,1,2.9,13.5
Tom Bihn Techonaut 30,1,,Clamshell,no,8,No,No,3,19.5,https://www.tombihn.com/products/techonaut-30?variant%3D42951394525373&sa=D&source=editors&ust=1740763376227777&usg=AOvVaw2EdMTIGnbOgjt8JnNKwIDJ,,no,No,No,400d Halcyon or 420d Nylon Ripstop,16,No,USA,No,https://graveyardshift.in/wp-content/uploads/2023/03/img_1791.jpg?w=914,400,top,Yes,Backpack,30,Side,Lifetime,1,2.2,12.5
tomtoc Aviator-T33 Chest Bag 1.5L,2,,,no,2.6,No,,,4.5,,Not dedicated,2,No,No,Nylon,No,Yes,China,No,https://www.tomtoc.com/cdn/shop/files/T33S1K1_bf61faed-49a2-4c6c-a70e-a5ec941787ae.png?crop=center&height=1600&v=1749717847&width=1600,39,front & back,No,Sling,1.5,No,2 years,0,0.48,8.3
tomtoc Aviator-T33 Chest Bag 2.5L,2,,,no,3.4,No,,,5.3,,Not dedicated,2,No,No,Nylon,No,Yes,China,No,https://www.tomtoc.com/cdn/shop/files/T33S2G1_d208a863-e8cf-48d9-be43-25bdc7e1071a.png?crop=center&height=1600&v=1743152310&width=1600,45,front & back,No,Sling,2.5,No,2 years,0,0.67,10.2
tomtoc Aviator-T33 Chest Bag 3.5L,2,,,no,3.4,No,,,5.9,,Not dedicated,2,No,No,Nylon,No,Yes,China,No,https://www.tomtoc.com/cdn/shop/files/T33M1K1_3fd08e00-0ba2-48bf-b84e-b6760243e355.png?crop=center&height=1600&v=1743152392&width=1600,49,front & back,No,Sling,3.5,No,2 years,0,0.69,11.4
tomtoc Aviator-T35 Chest Bag 1.5L X-Pac,2,,,no,2.8,No,,,4.5,,Not dedicated,2,No,No,X-PAC VX21 fabric or Nylon,No,Yes,China,No,https://www.tomtoc.com/cdn/shop/files/T35S1W1.png?crop=center&height=1600&v=1749711932&width=1600,62,front & back,No,Sling,1.5,No,2 years,0,0.52,8.3
tomtoc Aviator-T35 Chest Bag 2.5L X-Pac,2,,,no,3.5,No,,,5.3,,Not dedicated,2,No,No,X-PAC VX21 fabric or Nylon,No,Yes,China,No,https://www.tomtoc.com/cdn/shop/files/T35S2K1.png?crop=center&height=1600&v=1749710609&width=1600,68,front & back,No,Sling,2.5,No,2 years,0,0.7,10.2
tomtoc Aviator-T35 Chest Bag 3.5L X-Pac,2,,,no,3.5,No,,,5.9,,Not dedicated,2,No,No,X-PAC VX21 fabric or Nylon,No,Yes,China,No,https://www.tomtoc.com/cdn/shop/files/T35M1V1.png?crop=center&height=1600&v=1752809649&width=1600,76,front & back,No,Sling,3.5,No,2 years,0,0.75,11.4
tomtoc Explorer-T21 Sling Bag L,2,,,2,3.54,No,,,10.2,,Internal sleeve,2,No,No,Cordura Ballistic Nylon,13,Yes,China,No,https://www.tomtoc.com/cdn/shop/products/1600x16003_700x.jpg?v=1742873199,71,front & back,No,Sling,7,Underneath,2 years,1,1.43,15.75
tomtoc Explorer-T21 Sling Bag M,2,,,no,3.2,No,,,8.7,,Internal sleeve,2,No,No,Cordura Ballistic Nylon,11,Yes,China,No,https://www.tomtoc.com/cdn/shop/files/1_e63ad060-d7cf-4d2d-a324-dd95eedf7d7d_700x.jpg?v=1742873289,66,front & back,No,Sling,7,No,2 years,0,1.43,14.2
tomtoc Explorer-T21 Sling Bag S,2,,,no,3,No,,,5.9,,Internal sleeve,2,No,No,Cordura Ballistic Nylon,8,Yes,China,No,https://www.tomtoc.com/cdn/shop/files/15_b8fdee00-4a10-4f75-85c2-5bdaadc8865f.jpg?crop=center&height=1600&v=1752809366&width=1600,44,front & back,No,Sling,3,No,2 years,0,0.62,12.2
tomtoc Explorer-T21 Sling Bag S X-Pac,2,,,no,3,No,,,5.9,,Internal sleeve,2,No,No,X-PAC,8,Yes,China,No,https://www.tomtoc.com/cdn/shop/files/4_92cbe8de-ba76-4bb2-b555-b07f3fba8363_700x.jpg?v=1750825661,60,front & back,No,Sling,3,No,2 years,0,0.77,12.2
tomtoc Navigator-T66,2,Front access and full clamshell opening.,Clamshell,4,8.5,No,No,2,20.5,https://www.tomtoc.com/products/tomtoc-travel-backpack-40l&sa=D&source=editors&ust=1740763376229704&usg=AOvVaw13Z1vZVlbRyiL8jUyorZsH,Internal sleeve,no,No,No,,17,No,China,No,https://m.media-amazon.com/images/I/81oFM2j7X0L.jpg,81,top & front,Yes,Backpack,40,Side,2 years,2,2.6,13
tomtoc SlingBean-T32 Belt Bag,2,,,no,2,No,,,5.5,,Not dedicated,no,No,No,70D Nylon (Recycled),No,Yes,China,No,https://www.tomtoc.com/cdn/shop/files/95_f543d76d-eb52-41e6-96a6-86423ee49826.png?crop=center&height=1600&v=1752810447&width=1600,33,front & back,No,Sling,1.5,No,2 years,0,0.39,8.3
tomtoc TechPack-T73,2,,Clamshell,no,6.5,No,No,2,18.5,https://www.tomtoc.com/products/techpack-h73-x-pac-laptop-backpack&sa=D&source=editors&ust=1740763376231479&usg=AOvVaw1FgpqsRkIu0NU9gIITKVFN,,no,No,No,X-PAC front panel or Cordura ? mix,16,No,China,No,https://m.media-amazon.com/images/I/81sX85JYl6L.jpg,200,front & side,Yes,Backpack,30,Side,2 years,1,2.9,12
tomtoc VintPack-TA1,1,"Drawstring top closure with top covering flap.
Side zipper access. ipad/tablet sleeve",Toploader,no,6,No,No,2,17.5,https://www.tomtoc.com/products/vintpack-ta1-22l-laptop-backpack?variant%3D43819707302118&sa=D&source=editors&ust=1740763376233259&usg=AOvVaw13hM8pkYfygkJ_rBGu5uUh,Internal sleeve,>5,No,Yes,,16,No,China,No,"https://www.photospecialist.co.uk/_ipx/b_%23ffffff00,f_webp,fit_contain,s_484x484/https://www.kamera-express.nl/media/1f312217-c83c-4a15-a349-8c45c6d915c9/tomtoc-vintpack-ta1-22l-laptop-backpack-geel_1.jpg",80,top,Yes,Backpack,22,Side,2 years,2,2.1,12
tomtoc Wander-T26 Daily,2,,,2,3.7,No,,2,6.7,,Internal sleeve,2,No,No,Cordura Ballistic Nylon,8,Yes,China,No,https://cdn.shopify.com/s/files/1/0256/7979/0179/files/T26S1D1_3000x.png?v=1740128734,78,front & back,No,Sling,5.5,No,2 years,0,1.2,13
tomtoc Wander-T26 Daily X-PAC,2,,,2,3.7,No,,2,6.7,,Internal sleeve,2,No,No,X-PAC,8,Yes,China,No,https://www.tomtoc.com/cdn/shop/files/T26S1D2.png?crop=center&height=1600&v=1740128793&width=1600,99,front & back,No,Sling,5.5,No,2 years,0,1.2,13
tomtoc x U | Custom Sling Bag,2,,,no,3,No,,,5.9,,Internal sleeve,2,No,No,1260D Polyester or Matte Coated Fabric or X-PAC,8,Yes,China,No,https://www.tomtoc.com/cdn/shop/files/20250402-153931_49fbfc99-4cdc-4914-b84e-00559dce36d6_700x.jpg?v=1743579966,110,front & back,No,Sling,4,No,2 years,0,0.62,12.2
Topo Designs Classic Teardrop,1,Heritage silhouette & leather lash tabs,Toploader,0,6,No,No,1,18.5,https://topodesigns.com/products/classic-teardrop-backpack,Internal sleeve,2,No,No,1000D Recycled Nylon,14,Yes,USA,No,https://topodesigns.com/cdn/shop/files/S26-ClassicTeardropBackpack-ClassicBlue-932609431_2.webp?v=1779308561,99,Front,No,Backpack,20,No,Lifetime,1,1.19,12
Topo Designs Global Travel Bag 30L,1,Front lash points and loops.,Clamshell,no,7,Yes,35L,3,20,https://topodesigns.com/products/convertible-travel-bag-laptop-backpack-30l?variant%3D8546770452533&sa=D&source=editors&ust=1740763376235010&usg=AOvVaw1l30Do7SGqK0KXKSNmHpK0,External compartment,>5,No,No,1000D Nylon (Recycled),15,No,USA,No,"https://m.media-amazon.com/images/I/41TGfAxN0ZL._AC_QL92_SH45_UL240_SR240,220_.jpg",200,front,Yes,Backpack,30,Side,Lifetime,2,2.6,12.5
